Country,Income_group,Year,Area,Age,Males_Overweight,Males_Obesity,Females_Overweight,Females_Obesity,All_Adults_Overweight,All_Adults_Obesity
Brazil,Upper-middle income,2024,Regional,18+,40.5,24.4,33.9,26.7,36.9,25.7
British Virgin Islands,,2009,National,25-64,45.0,28.4,32.2,43.9,39.2,35.5
Bulgaria,High income,2025,National,18+,50.0,18.5,34.3,12.5,41.7,15.4
Burkina Faso,Low income,2021,National,20-49,,,18.1,7.3,,
Burkina Faso,Low income,2013,National,25-64,10.8,2.9,7.2,6.0,8.9,4.5
Burundi,Low income,2017,National,15-49,,,6.10,1.70,,
Cabo Verde,Upper-middle income,2020,National,18-69,27.5,6.7,32.4,22.5,29.9,14.3
Cambodia,Lower-middle income,2010,National,25-64,10.5,1.1,16.3,2.7,13.5,1.9
Cameroon,Lower-middle income,2018,National,15-49,,,23.5,13.6,,
Cameroon,Lower-middle income,2003,Regional,15+,21.6,6.5,28.6,19.5,25.1,13.0
Canada,High income,2024,National,18-79,39.60,34.80,30.20,32.10,34.90,33.50
Canary Islands (Sp.),,2021,National,18+,37.93,18.14,33.02,18.05,35.44,18.1
Caribbean Netherlands,,2021,National,15+,37.8,42.6,31.5,42.6,34.7,42.6
Cayman Islands,High income,2023,National,18-69,41.0,24.6,32.7,41.1,37.0,32.7
Central African Republic,Low income,2017,Regional,25-64,12.8,6.9,19.3,12.7,16.0,9.7
Chad,Low income,2015,National,15-49,,,9.00,2.50,,
Chad,Low income,2007,Regional,25-64,21.5,8.4,23.8,19.9,22.9,13.7
Chile,High income,2017,National,15+,43.30,30.30,36.40,38.40,39.80,34.40
China,Upper-middle income,2015,National,18-59,36.36,6.3,28.87,6.79,33.07,6.51
Chinese Taipei,High income,2014,National,19+,,,,,,8.20
Colombia,Upper-middle income,2022,Urban only,18-80,37.9,15.6,36.6,27.6,37.2,21.7
Comoros,Lower-middle income,2012,National,15-49,,,24.6,11.8,,
Comoros,Lower-middle income,2011,National,25-64,22.1,5.5,30.0,22.4,25.9,13.5
Congo,Lower-middle income,2012,National,15-49,,,17.30,8.80,,
Congo,Lower-middle income,2004,Regional,25-64,15.5,2.5,22.1,15.0,18.7,8.6
