"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2013,"Women","Canada","CAN",0.027259096145348147,0.02290861509349259,0.03206551944377576,0.24340596397874634,0.22980268410570667,0.2578460335868174,0.06207145177478848,0.056034007278874684,0.06856628023742849,0.37781101248610516,0.36313730874207245,0.3924137428548206,0.28945247361501186,0.27561009136992315,0.30283269653607026,0.13642302829423042,0.12557924270347623,0.14768118839224068,0.06547633566168932,0.05784738413158981,0.07364279313487866,0.04150660002282658,0.03473292598689515,0.04912308494209463
2014,"Women","Canada","CAN",0.02749527068182073,0.022911293654213672,0.032588442727321164,0.2444177956340309,0.23023711023863974,0.2594839039040586,0.06283482378276903,0.056731590906982925,0.06949118711690812,0.3755471288126336,0.3601346490941975,0.39070685241866193,0.28970497908874576,0.27537459241033296,0.303614893670514,0.13544838760262312,0.12429637986744402,0.14729227331123151,0.06652099211372009,0.05857650093963604,0.07504349618329902,0.042448415917687686,0.035295216335819245,0.05059340305931856
2015,"Women","Canada","CAN",0.027738498035059747,0.02285012820673167,0.03309142950446795,0.24525758307524392,0.23019377685686274,0.26112884437979195,0.06362912993978569,0.0571602657648985,0.07081327730554815,0.37333852555208646,0.3572106529265223,0.3890927287981031,0.2900362613978241,0.2747014215958018,0.3049743412403799,0.1342700354646007,0.12240787508910697,0.14675314867315972,0.06760828376051171,0.059000621435253774,0.07673089107402092,0.043379263850131536,0.03560059169287829,0.05207326325896532
2016,"Women","Canada","CAN",0.027985656459211774,0.02276221663857156,0.033832849542209185,0.2459498831013064,0.22963062117663915,0.26302041859957936,0.06443578267573943,0.05743144530086484,0.07220201673678045,0.371255023438781,0.3537821689004921,0.3882614415444574,0.29037365232496143,0.2738124516815816,0.306495303848397,0.13288912328524144,0.12032809429785746,0.14625288199293643,0.06874462127463818,0.05930387679384522,0.07872021108133823,0.044316138541426776,0.03580712414092761,0.053769764169568204
2017,"Women","Canada","CAN",0.028240479591344923,0.022541187328202476,0.03464237632313233,0.24647463850205553,0.22821319091001688,0.2653773073532706,0.06525247933828653,0.057341761968926604,0.07400236217170338,0.369307788927442,0.35013258265421343,0.3884539179564909,0.29072461164087104,0.27287051885490543,0.3082753619723976,0.1313204227720603,0.11756772668513117,0.14612550975427113,0.06989344563644938,0.05962005175658232,0.08100962619239745,0.04526077009354587,0.03586282561532008,0.05586915432190983
2018,"Women","Canada","CAN",0.02851111092496989,0.022218949575685074,0.03563524619160439,0.24685015605103147,0.2264368706703814,0.26834236004296247,0.06611855798921128,0.05712397500305108,0.07606339302370149,0.3674853478897859,0.345984873493021,0.38873658459934385,0.29103482514500145,0.271139092128905,0.3111695555153202,0.12958750131718583,0.11435965490120688,0.14605786674094784,0.07103679468300862,0.05966228223925145,0.08345930803983227,0.046225860050837016,0.03581645345270068,0.058411507394966915
2019,"Women","Canada","CAN",0.028803429269624467,0.021871331495382892,0.03680399429074659,0.2471442661705428,0.22450534257894644,0.27143408878966635,0.06702376193363296,0.05668228696355115,0.07838006153721788,0.3657308234384664,0.34136916785852434,0.39012856620974906,0.29129771718773334,0.26908477786311236,0.31393409400729955,0.12774300060468688,0.11088627621037152,0.1462471762981559,0.07218422434726685,0.05937625428880653,0.08622533308864472,0.04721704121858907,0.035500531662848875,0.06143161423700176
2020,"Women","Canada","CAN",0.02912068736308964,0.02139956182746043,0.038291527894725924,0.2474307585911614,0.2219943392131002,0.2748051585966886,0.06795041362440121,0.05614802629409874,0.0811106953486012,0.36397168156914333,0.33626754028150446,0.3920117641554078,0.29152645685220435,0.26637688592793246,0.31743201874973165,0.12586384862213956,0.10661673117667882,0.1466495848220671,0.07332298353243075,0.05897883222589515,0.08950927599905417,0.04824392643659109,0.03499209727835128,0.06429330068338325
2021,"Women","Canada","CAN",0.029462071465733396,0.02087910523587953,0.03978866132029015,0.2477322415468783,0.21907934760164355,0.27883541055120736,0.06889455931483032,0.055461368342657434,0.08422391084286852,0.3622082386301397,0.3305300107711603,0.3939651953202565,0.2917028870424183,0.2637542187258218,0.3210973554071861,0.12397165053953402,0.10235727013939157,0.14710188825856468,0.07446650422869562,0.05820179688203673,0.0928516696909407,0.04929408677864869,0.034326121753728685,0.06789661278898718
2022,"Women","Canada","CAN",0.029825864073540823,0.020285023767845408,0.041518628566732024,0.2480608245666525,0.21581278217610012,0.2834972606017379,0.06986088910342246,0.0548179625291684,0.087404438027462,0.360413953007123,0.3246944540535582,0.39610307146749757,0.29183846724926127,0.2603373851893239,0.3249396104865172,0.12207531750973294,0.09775309935992034,0.14785893671388778,0.0756071244612072,0.057512041021303875,0.09663545569800167,0.05037838259571236,0.033425827038354033,0.0716772209533018
