"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
2021,"Women","United States of America","USA",0.022472870593693264,0.017218018811615218,0.02861896328907893,0.42086768030343824,0.3954637987953429,0.44680653831606576,0.03732413948050855,0.030953219158347003,0.04435650473708108,0.24394397851647096,0.22377326248950052,0.26428084767632126,0.2753913291058889,0.2535499794561125,0.2968933741997043,0.184916926200597,0.16523557914845363,0.20578148058076018,0.11802623490079696,0.1017288217831302,0.13486454924278912,0.11792451920204433,0.09759280512660792,0.1395381138931156
2022,"Women","United States of America","USA",0.0225134052282421,0.016762232924934693,0.02933109280927255,0.4242724679972746,0.39539012975860033,0.45391884887674405,0.03679491962549846,0.02978422231712654,0.04460114521088597,0.2406000145679814,0.21750266788205055,0.26355509146857725,0.2758191905810034,0.25129721242412745,0.30052671141421566,0.18420103069922183,0.1619973827772908,0.2076200982352773,0.11919278112844742,0.10093054205686146,0.1385628339647187,0.12087865616960532,0.09778812511200816,0.14536915261820688
2023,"Women","United States of America","USA",0.022563903779161825,0.016184574447183086,0.030115631769954604,0.42768150121493037,0.39460974526268783,0.46170016667011365,0.03628276756163171,0.02857002705701077,0.04499952870379408,0.2372653939070636,0.21077955372170648,0.26319909067246855,0.27620643153721247,0.24881716660896136,0.30426217942291883,0.18344504287679975,0.15793609537824205,0.20983560575931573,0.12035639028567396,0.09983067355055544,0.14236928596900963,0.12388006805245665,0.09755108024431851,0.1520683756098616
2024,"Women","United States of America","USA",0.02262234378213396,0.015493087730478612,0.031197798208511773,0.4310967566287209,0.3936719090899903,0.4697325835906475,0.035785213362871916,0.027334099283422342,0.04572419797192957,0.233942877240642,0.20448755246252148,0.26402414210384506,0.2765528069856313,0.24544162029757563,0.30864504945338556,0.18265947792293033,0.15383812517781312,0.21257648241321467,0.12151798775097973,0.09822243736518883,0.14683992053788456,0.12691929095481078,0.09720468945547295,0.15932344543400773
1980,"Men","United States of America","USA",0.015031805673349703,0.009750321907932125,0.02238025707389881,0.10840492012287167,0.09133912677647837,0.12724918626124246,0.045882405829672956,0.03718323195283639,0.05606226936919679,0.45688237425206524,0.42725672441696366,0.48593614157646475,0.3737984921220404,0.3448578974470524,0.4026223611964467,0.08955228219700123,0.07290616252725536,0.10782960972656602,0.014500747793649611,0.009972693938610732,0.02000181844038768,0.0043518901322208365,0.0023408178520533045,0.007165387108157681
1981,"Men","United States of America","USA",0.014390768084152987,0.009651770226806258,0.02072746643871788,0.11351818564808966,0.09762561887493833,0.13095995216728534,0.0443644450940944,0.03659214967920303,0.053417441632497883,0.45060591743195405,0.4237544327930349,0.4771831629077113,0.37712068174170893,0.3509900227623925,0.40335909880421367,0.09347452373939107,0.07787114050017248,0.11029778628301233,0.015423854822921346,0.011044092594439227,0.020614475100024364,0.0046198070857772396,0.0026762922256317566,0.007225036593085245
1982,"Men","United States of America","USA",0.013783958919189224,0.009534586020567342,0.019273373197032876,0.11884028819328,0.10382911851531333,0.1351809873323515,0.04288671064211967,0.035845862503767326,0.05092436152561933,0.44408915640975494,0.419536690861244,0.46880513664195583,0.38039988383565615,0.35635002303379465,0.40497861580631667,0.09752994314203117,0.08267089977123632,0.11333557651640964,0.01640078435372904,0.012168292121158181,0.021310887251931147,0.00490956069751979,0.003026709229933264,0.007307391645467584
1983,"Men","United States of America","USA",0.013216067567817829,0.009346164498241084,0.018020910429207084,0.12436884707987904,0.10998235637718468,0.1399679968200655,0.041444993361373555,0.034957188991836835,0.04888163169558016,0.4373115635011684,0.414298358903791,0.46021011567675857,0.3836585264897612,0.36134388554820274,0.4066878909119909,0.10171662844598811,0.08757865292722626,0.11686864309273838,0.017436137930333453,0.013312233653694674,0.022136865325687857,0.0052160807035574654,0.003383924804246616,0.0075128766880324235
1984,"Men","United States of America","USA",0.01268809703774179,0.00920560803384154,0.016968743664713053,0.13011006798348929,0.1162998099940431,0.14509531920460794,0.04004564752947254,0.03409840563758326,0.04685475598718201,0.4302151052672943,0.4083939597168997,0.45174828771015996,0.386941080182002,0.36529621981634763,0.4084765406465399,0.10604993760222842,0.09241098298846294,0.12067925884850282,0.018521086651928156,0.014456768182970162,0.02312856975412415,0.0055390437293327075,0.003724955501430144,0.007690526550235999
1985,"Men","United States of America","USA",0.012201130101440989,0.00903349869886523,0.01603908534992913,0.1360502483352162,0.12247471267803611,0.15084309460140777,0.03869139434362304,0.03308660771279274,0.04512799744947146,0.42278368990317683,0.40183677053216127,0.44329375116183345,0.39027353531654296,0.3699657036300814,0.41090109595309493,0.11051741168388039,0.09702355225142928,0.12460321773768623,0.019653464277034783,0.015635905782058042,0.024219391610158306,0.005879372374301013,0.004084551373657266,0.008008946182983706
